! ConsToPrim(): p(E) < 0 (-4.02e+04),   @step = 210710 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-2.91e+05),   @step = 210711 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-3.12e+04),   @step = 210711 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-7.99e+04),   @step = 210713 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-3.97e+04),   @step = 210713 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-1.66e+05),   @step = 210714 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-8.43e+04),   @step = 210714 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-2.56e+05),   @step = 210715 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-1.19e+05),   @step = 210715 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-4.31e+05),   @step = 210716 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-1.05e+05),   @step = 210716 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-1.28e+05),   @step = 210717 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-4.96e+03),   @step = 210717 (stage = 2); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-5.36e+04),   @step = 210717 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-4.50e+05),   @step = 210718 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-8.98e+04),   @step = 210718 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-1.36e+05),   @step = 210721 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-7.20e+04),   @step = 210721 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-2.27e+05),   @step = 210722 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-1.14e+05),   @step = 210722 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-3.49e+05),   @step = 210723 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-1.35e+05),   @step = 210723 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-1.45e+05),   @step = 210724 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-6.85e+04),   @step = 210724 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-5.42e+05),   @step = 210725 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-4.76e+04),   @step = 210725 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-1.05e+05),   @step = 210726 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-4.00e+04),   @step = 210726 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-1.58e+05),   @step = 210727 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-2.37e+04),   @step = 210727 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-9.95e+04),   @step = 210729 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-4.99e+04),   @step = 210729 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-2.06e+05),   @step = 210730 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.02e+05),   @step = 210730 (stage = 3); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-3.36e+05),   @step = 210731 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-1.29e+05),   @step = 210731 (stage = 3); [i = 5], [x1 = 1.996250]
